,AAPL,CRUS,SWKS,BBY,MU,QRVO,NVDA,SMCI,MPWR,AVT,AMAT
AAPL,0.8757220097634653,0.0,0.0,0.0,0.0,0.0,0.12427799023653478,0.0,0.0,0.0,0.0
CRUS,0.20241883390599805,0.42523394729514247,0.3185871507555946,0.0,0.0,0.053760068043264955,0.0,0.0,0.0,0.0,0.0
SWKS,0.16464276256289545,0.10255807966877002,0.6023599822109234,0.0,0.0,0.13043917555741105,0.0,0.0,0.0,0.0,0.0
BBY,0.10050662317514483,0.0,0.0,0.8994933768248552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU,0.050047335731274796,0.0,0.0,0.0,0.7376974942104899,0.0,0.08924267312444513,0.0,0.0,0.0,0.12301249693379031
QRVO,0.14608674563289975,0.021879601368299893,0.21137484493499925,0.0,0.0,0.6206588080638011,0.0,0.0,0.0,0.0,0.0
NVDA,0.13710499163404002,0.0,0.0,0.0,0.06638932408905064,0.0,0.7965056842769094,0.0,0.0,0.0,0.0
SMCI,0.0,0.0,0.0,0.0,0.0,0.0,0.12012652729003576,0.8798734727099642,0.0,0.0,0.0
MPWR,0.0,0.0,0.0,0.0,0.0,0.0,0.11989636736364885,0.0,0.8490906811350002,0.031012951501350864,0.0
AVT,0.0,0.0,0.0,0.0,0.12260876278744604,0.0,0.05095640618541487,0.0,0.0,0.8264348310271391,0.0
AMAT,0.0,0.0,0.0,0.0,0.266257511251533,0.0,0.0,0.0,0.0,0.0,0.7337424887484669
