,AAPL,CRUS,SWKS,BBY,MU,QRVO,NVDA,SMCI,MPWR,AVT,AMAT
AAPL,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUS,0.30911587727034967,0.9510243816114182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWKS,0.2833971987807514,0.5630376560711615,0.7763212128810575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBY,0.15935124404779438,0.2368765950381728,0.12588481198840434,0.9500787724468877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU,0.008334683480008303,0.30986571392831047,0.13623226459540486,-0.08428320412024863,0.9371504062686083,0.0,0.0,0.0,0.0,0.0,0.0
QRVO,0.30531354014115003,0.5415835178798941,0.7309358334675866,0.02934377661959954,0.012904459830133524,0.27960000073417857,0.0,0.0,0.0,0.0,0.0
NVDA,0.1167322787370711,0.14593196103545264,0.03307567246547625,-0.04414784271899723,0.4202795114396924,0.041460410025350176,0.8852573481129409,0.0,0.0,0.0,0.0
SMCI,0.11576175446614638,0.2699776069441502,0.0742102016332571,0.13167019335711308,0.33761601957104304,-0.0162682216239902,0.3149239647664774,0.8230679065644837,0.0,0.0,0.0
MPWR,0.11821321112586747,0.47581922648786795,0.2218371106928681,-0.0026914840215953423,0.45969314240766407,0.054137992057146256,0.20020028308913268,0.019209696217978484,0.6750591674176651,0.0,0.0
AVT,0.08928341519918996,0.40272117569346605,0.14087242764501287,-0.042416980735389506,0.32818119879063196,-0.04052354381313351,0.1126309695153082,0.06912484911219177,0.3138827313716057,0.7634582368003262,0.0
AMAT,-0.0018760403800586194,0.3384255599669939,0.20987761226507856,-0.07968945473752183,0.6307044801597951,0.00689099859933401,0.15101429198564562,-0.010643237969584357,0.2237978471101127,0.05156325801791325,0.6013045247665981
